id,code,description,est_efface
1.0,TR007_001,Autres équipements consommant de l'énergie,0.0
2.0,TR007_002,Emetteurs,0.0
3.0,TR007_003,Inspection 15 ans,0.0
4.0,TR007_004,Inspection périodique,0.0
5.0,TR007_005,Menuiseries our parois vitrées,0.0
6.0,TR007_006,Murs,0.0
7.0,TR007_007,Nombre d'occupants,0.0
8.0,TR007_008,Plancher Bas,0.0
9.0,TR007_009,Quantité d'énergies renouvelables,0.0
10.0,TR007_010,Système  de production d'eau chaude sanitaire,0.0
11.0,TR007_011,Système de chauffage,0.0
12.0,TR007_012,Système de refroidissement,0.0
13.0,TR007_013,Système de ventilation,0.0
14.0,TR007_014,Système d'éclairage,0.0
15.0,TR007_015,Rapport d'entretien et d'inspection des chaudières,0.0
16.0,TR007_016,Toiture,0.0
17.0,TR007_017,Type d'équipement utilisant des énergies renouvelables,0.0
