"id","code","materiaux","upb0","est_efface","simulateur"
"1","TV006_001","Inconnu","2.00","0","1"
"2","TV006_002","Plancher avec ou sans remplissage","1.45","0","1"
"3","TV006_003","Plancher entre solives métalliques avec ou sans remplissage","1.45","0","1"
"4","TV006_004","Plancher entre solives bois avec ou sans remplissage","1.10","0","1"
"5","TV006_005","Plancher bois sur solives métalliques","1.60","0","1"
"6","TV006_006","Bardeaux et remplissage","1.10","0","1"
"7","TV006_007","Voutains sur solives métalliques","1.75","0","1"
"8","TV006_008","Voutains en briques ou moellons","0.80","0","1"
"9","TV006_009","Dalle béton","2.00","0","1"
"10","TV006_010","Plancher bois sur solives bois","1.60","0","1"
"11","TV006_011","Plancher lourd type entrevous terre-cuite, poutrelles béton","2.00","0","1"
"12","TV006_012","Plancher à entrevous isolant","0.45","0","1"
