"id","code","pb_isole","ssp","annee_construction","annee_construction_min","annee_construction_max","annee_isolation","annee_isolation_min","annee_isolation_max","tv017_zone_hiver_id","effet_joule","upb","est_efface"
"1","TV005_001","Non","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2.00","0"
"2","TV005_002","Inconnu","NULL","1948 à 1974","1948","1974","NULL","NULL","NULL","1","1","2.00","0"
"3","TV005_003","Inconnu","NULL","1974 à 1977","1974","1977","NULL","NULL","NULL","1","1","0.90","0"
"4","TV005_004","Inconnu","NULL","1977 à 1982","1978","1982","NULL","NULL","NULL","1","1","0.80","0"
"5","TV005_005","Inconnu","NULL","1982 à 1988","1983","1988","NULL","NULL","NULL","1","1","0.55","0"
"6","TV005_006","Inconnu","NULL","1988 à 2000","1989","2000","NULL","NULL","NULL","1","1","0.55","0"
"7","TV005_007","Inconnu","NULL","2000 à 2005","2001","2005","NULL","NULL","NULL","1","1","0.30","0"
"8","TV005_008","Inconnu","NULL","à partir de 2006","2006","2100","NULL","NULL","NULL","1","1","0.27","0"
"9","TV005_009","Inconnu","NULL","1948 à 1974","1948","1974","NULL","NULL","NULL","1","0","2.00","0"
"10","TV005_010","Inconnu","NULL","1974 à 1977","1975","1977","NULL","NULL","NULL","1","0","0.90","0"
"11","TV005_011","Inconnu","NULL","1977 à 1982","1978","1982","NULL","NULL","NULL","1","0","0.90","0"
"12","TV005_012","Inconnu","NULL","1982 à 1988","1983","1988","NULL","NULL","NULL","1","0","0.70","0"
"13","TV005_013","Inconnu","NULL","1988 à 2000","1989","2000","NULL","NULL","NULL","1","0","0.60","0"
"14","TV005_014","Inconnu","NULL","2000 à 2005","2001","2005","NULL","NULL","NULL","1","0","0.30","0"
"15","TV005_015","Inconnu","NULL","à partir de 2006","2006","2100","NULL","NULL","NULL","1","0","0.27","0"
"16","TV005_016","Inconnu","NULL","1948 à 1974","1948","1974","NULL","NULL","NULL","2","1","2.00","0"
"17","TV005_017","Inconnu","NULL","1974 à 1977","1975","1977","NULL","NULL","NULL","2","1","0.95","0"
"18","TV005_018","Inconnu","NULL","1977 à 1982","1978","1982","NULL","NULL","NULL","2","1","0.84","0"
"19","TV005_019","Inconnu","NULL","1982 à 1988","1983","1988","NULL","NULL","NULL","2","1","0.58","0"
"20","TV005_020","Inconnu","NULL","1988 à 2000","1989","2000","NULL","NULL","NULL","2","1","0.58","0"
"21","TV005_021","Inconnu","NULL","2000 à 2005","2001","2005","NULL","NULL","NULL","2","1","0.30","0"
"22","TV005_022","Inconnu","NULL","à partir de 2006","2006","2100","NULL","NULL","NULL","2","1","0.27","0"
"23","TV005_023","Inconnu","NULL","1948 à 1974","1948","1974","NULL","NULL","NULL","2","0","2.00","0"
"24","TV005_024","Inconnu","NULL","1974 à 1977","1975","1977","NULL","NULL","NULL","2","0","0.95","0"
"25","TV005_025","Inconnu","NULL","1977 à 1982","1978","1982","NULL","NULL","NULL","2","0","0.95","0"
"26","TV005_026","Inconnu","NULL","1982 à 1988","1983","1988","NULL","NULL","NULL","2","0","0.74","0"
"27","TV005_027","Inconnu","NULL","1988 à 2000","1989","2000","NULL","NULL","NULL","2","0","0.63","0"
"28","TV005_028","Inconnu","NULL","2000 à 2005","2001","2005","NULL","NULL","NULL","2","0","0.30","0"
"29","TV005_029","Inconnu","NULL","à partir de 2006","2006","2100","NULL","NULL","NULL","2","0","0.27","0"
"30","TV005_030","Inconnu","NULL","1948 à 1974","1948","1974","NULL","NULL","NULL","3","1","2.00","0"
"31","TV005_031","Inconnu","NULL","1974 à 1977","1975","1977","NULL","NULL","NULL","3","1","1.00","0"
"32","TV005_032","Inconnu","NULL","1977 à 1982","1978","1982","NULL","NULL","NULL","3","1","0.89","0"
"33","TV005_033","Inconnu","NULL","1982 à 1988","1983","1988","NULL","NULL","NULL","3","1","0.61","0"
"34","TV005_034","Inconnu","NULL","1988 à 2000","1989","2000","NULL","NULL","NULL","3","1","0.61","0"
"35","TV005_035","Inconnu","NULL","2000 à 2005","2001","2005","NULL","NULL","NULL","3","1","0.43","0"
"36","TV005_036","Inconnu","NULL","à partir de 2006","2006","2100","NULL","NULL","NULL","3","1","0.36","0"
"37","TV005_037","Inconnu","NULL","1948 à 1974","1948","1974","NULL","NULL","NULL","3","0","2.00","0"
"38","TV005_038","Inconnu","NULL","1974 à 1977","1975","1977","NULL","NULL","NULL","3","0","1.00","0"
"39","TV005_039","Inconnu","NULL","1977 à 1982","1978","1982","NULL","NULL","NULL","3","0","1.00","0"
"40","TV005_040","Inconnu","NULL","1982 à 1988","1983","1988","NULL","NULL","NULL","3","0","0.78","0"
"41","TV005_041","Inconnu","NULL","1988 à 2000","1989","2000","NULL","NULL","NULL","3","0","0.67","0"
"42","TV005_042","Inconnu","NULL","2000 à 2005","2001","2005","NULL","NULL","NULL","3","0","0.43","0"
"43","TV005_043","Inconnu","NULL","à partir de 2006","2006","2100","NULL","NULL","NULL","3","0","0.36","0"
"44","TV005_044","1","NULL","jusqu'à 1988","1900","1988","NULL","NULL","NULL","NULL","NULL","0.87","0"
"45","TV005_045","1","NULL","de 1989 à 2000","1989","2000","NULL","NULL","NULL","NULL","NULL","0.63","0"
"46","TV005_046","1","NULL","à partir de 2000","2001","2100","NULL","NULL","NULL","NULL","NULL","0.42","0"
"47","TV005_047","1","NULL","NULL","NULL","NULL","de 1975 à 1977","1975","1977","1","NULL","0.90","0"
"48","TV005_048","1","NULL","NULL","NULL","NULL","de 1978 à 1982","1978","1982","1","NULL","0.80","0"
"49","TV005_049","1","NULL","NULL","NULL","NULL","de 1983 à 1988","1983","1988","1","NULL","0.55","0"
"50","TV005_050","1","NULL","NULL","NULL","NULL","de 1989 à 2000","1989","2000","1","NULL","0.55","0"
"51","TV005_051","1","NULL","NULL","NULL","NULL","de 2001 à 2005","2001","2005","1","NULL","0.30","0"
"52","TV005_052","1","NULL","NULL","NULL","NULL","à partir de 2006","2006","2100","1","NULL","0.27","0"
"53","TV005_053","1","NULL","NULL","NULL","NULL","de 1975 à 1977","1975","1977","2","NULL","0.95","0"
"54","TV005_054","1","NULL","NULL","NULL","NULL","de 1978 à 1982","1978","1982","2","NULL","0.84","0"
"55","TV005_055","1","NULL","NULL","NULL","NULL","de 1983 à 1988","1983","1988","2","NULL","0.58","0"
"56","TV005_056","1","NULL","NULL","NULL","NULL","de 1989 à 2000","1989","2000","2","NULL","0.58","0"
"57","TV005_057","1","NULL","NULL","NULL","NULL","de 2001 à 2005","2001","2005","2","NULL","0.30","0"
"58","TV005_058","1","NULL","NULL","NULL","NULL","à partir de 2006","2006","2100","2","NULL","0.27","0"
"59","TV005_059","1","NULL","NULL","NULL","NULL","de 1975 à 1977","1975","1977","3","NULL","1.00","0"
"60","TV005_060","1","NULL","NULL","NULL","NULL","de 1978 à 1982","1978","1982","3","NULL","0.89","0"
"61","TV005_061","1","NULL","NULL","NULL","NULL","de 1983 à 1988","1983","1988","3","NULL","0.61","0"
"62","TV005_062","1","NULL","NULL","NULL","NULL","de 1989 à 2000","1989","2000","3","NULL","0.61","0"
"63","TV005_063","1","NULL","NULL","NULL","NULL","de 2001 à 2005","2001","2005","3","NULL","0.43","0"
"64","TV005_064","1","NULL","NULL","NULL","NULL","à partir de 2006","2006","2100","3","NULL","0.36","0"
"65","TV005_065","Terre Plein","3.00","Avant 2001","1900","2001","NULL","NULL","NULL","NULL","NULL","0.37","0"
"66","TV005_066","Terre Plein","4.00","Avant 2001","1900","2001","NULL","NULL","NULL","NULL","NULL","0.35","0"
"67","TV005_067","Terre Plein","5.00","Avant 2001","1900","2001","NULL","NULL","NULL","NULL","NULL","0.34","0"
"68","TV005_068","Terre Plein","6.00","Avant 2001","1900","2001","NULL","NULL","NULL","NULL","NULL","0.32","0"
"69","TV005_069","Terre Plein","7.00","Avant 2001","1900","2001","NULL","NULL","NULL","NULL","NULL","0.31","0"
"70","TV005_070","Terre Plein","8.00","Avant 2001","1900","2001","NULL","NULL","NULL","NULL","NULL","0.30","0"
"71","TV005_071","Terre Plein","9.00","Avant 2001","1900","2001","NULL","NULL","NULL","NULL","NULL","0.29","0"
"72","TV005_072","Terre Plein","10.00","Avant 2001","1900","2001","NULL","NULL","NULL","NULL","NULL","0.28","0"
"73","TV005_073","Terre Plein","11.00","Avant 2001","1900","2001","NULL","NULL","NULL","NULL","NULL","0.27","0"
"74","TV005_074","Terre Plein","12.00","Avant 2001","1900","2001","NULL","NULL","NULL","NULL","NULL","0.27","0"
"75","TV005_075","Terre Plein","13.00","Avant 2001","1900","2001","NULL","NULL","NULL","NULL","NULL","0.26","0"
"76","TV005_076","Terre Plein","14.00","Avant 2001","1900","2001","NULL","NULL","NULL","NULL","NULL","0.25","0"
"77","TV005_077","Terre Plein","15.00","Avant 2001","1900","2001","NULL","NULL","NULL","NULL","NULL","0.24","0"
"78","TV005_078","Terre Plein","16.00","Avant 2001","1900","2001","NULL","NULL","NULL","NULL","NULL","0.24","0"
"79","TV005_079","Terre Plein","17.00","Avant 2001","1900","2001","NULL","NULL","NULL","NULL","NULL","0.23","0"
"80","TV005_080","Terre Plein","18.00","Avant 2001","1900","2001","NULL","NULL","NULL","NULL","NULL","0.23","0"
"81","TV005_081","Terre Plein","19.00","Avant 2001","1900","2001","NULL","NULL","NULL","NULL","NULL","0.22","0"
"82","TV005_082","Terre Plein","20.00","Avant 2001","1900","2001","NULL","NULL","NULL","NULL","NULL","0.22","0"
"83","TV005_083","Terre Plein","3.00","A partir de 2001","2001","2100","NULL","NULL","NULL","NULL","NULL","0.27","0"
"84","TV005_084","Terre Plein","4.00","A partir de 2001","2001","2100","NULL","NULL","NULL","NULL","NULL","0.26","0"
"85","TV005_085","Terre Plein","5.00","A partir de 2001","2001","2100","NULL","NULL","NULL","NULL","NULL","0.25","0"
"86","TV005_086","Terre Plein","6.00","A partir de 2001","2001","2100","NULL","NULL","NULL","NULL","NULL","0.25","0"
"87","TV005_087","Terre Plein","7.00","A partir de 2001","2001","2100","NULL","NULL","NULL","NULL","NULL","0.24","0"
"88","TV005_088","Terre Plein","8.00","A partir de 2001","2001","2100","NULL","NULL","NULL","NULL","NULL","0.23","0"
"89","TV005_089","Terre Plein","9.00","A partir de 2001","2001","2100","NULL","NULL","NULL","NULL","NULL","0.22","0"
"90","TV005_090","Terre Plein","10.00","A partir de 2001","2001","2100","NULL","NULL","NULL","NULL","NULL","0.21","0"
"91","TV005_091","Terre Plein","11.00","A partir de 2001","2001","2100","NULL","NULL","NULL","NULL","NULL","0.20","0"
"92","TV005_092","Terre Plein","12.00","A partir de 2001","2001","2100","NULL","NULL","NULL","NULL","NULL","0.19","0"
"93","TV005_093","Terre Plein","13.00","A partir de 2001","2001","2100","NULL","NULL","NULL","NULL","NULL","0.18","0"
"94","TV005_094","Terre Plein","14.00","A partir de 2001","2001","2100","NULL","NULL","NULL","NULL","NULL","0.18","0"
"95","TV005_095","Terre Plein","15.00","A partir de 2001","2001","2100","NULL","NULL","NULL","NULL","NULL","0.17","0"
"96","TV005_096","Terre Plein","16.00","A partir de 2001","2001","2100","NULL","NULL","NULL","NULL","NULL","0.17","0"
"97","TV005_097","Terre Plein","17.00","A partir de 2001","2001","2100","NULL","NULL","NULL","NULL","NULL","0.16","0"
"98","TV005_098","Terre Plein","18.00","A partir de 2001","2001","2100","NULL","NULL","NULL","NULL","NULL","0.16","0"
"99","TV005_099","Terre Plein","19.00","A partir de 2001","2001","2100","NULL","NULL","NULL","NULL","NULL","0.15","0"
"100","TV005_100","Terre Plein","20.00","A partir de 2001","2001","2100","NULL","NULL","NULL","NULL","NULL","0.15","0"
