"id","code","tv021_facteur_solaire_type_pose_id","tv021_facteur_solaire_materiaux_id","tv010_uw_type_materiaux_id","tv021_facteur_solaire_type_baie_id","tv010_uw_type_menuiserie_id","tv021_facteur_solaire_type_vitrage_id","fts","est_efface"
"1","TV021_001","1","2","4","NULL","NULL","NULL","0.40","0"
"2","TV021_002","1","5","9","NULL","NULL","NULL","0.40","0"
"3","TV021_003","2","1","8","5","14","5","0.58","0"
"4","TV021_004","2","1","8","5","14","1","0.52","0"
"5","TV021_005","2","1","8","5","14","2","0.45","0"
"6","TV021_006","2","1","8","5","14","3","0.46","0"
"7","TV021_007","2","1","8","5","14","4","0.41","0"
"8","TV021_008","2","1","8","6","15","5","0.62","0"
"9","TV021_009","2","1","8","6","15","1","0.55","0"
"10","TV021_010","2","1","8","6","15","2","0.48","0"
"11","TV021_011","2","1","8","6","15","3","0.49","0"
"12","TV021_012","2","1","8","6","15","4","0.44","0"
"13","TV021_013","2","1","8","7","16","5","0.53","0"
"14","TV021_014","2","1","8","7","16","1","0.48","0"
"15","TV021_015","2","1","8","7","16","2","0.41","0"
"16","TV021_016","2","1","8","7","16","3","0.42","0"
"17","TV021_017","2","1","8","7","16","4","0.38","0"
"18","TV021_018","2","6","7","2","9","5","0.54","0"
"19","TV021_019","2","6","7","2","9","1","0.48","0"
"20","TV021_020","2","6","7","2","9","2","0.42","0"
"21","TV021_021","2","6","7","2","9","3","0.43","0"
"22","TV021_022","2","6","7","2","9","4","0.39","0"
"23","TV021_023","2","6","7","8","13","5","0.57","0"
"24","TV021_024","2","6","7","8","13","1","0.51","0"
"25","TV021_025","2","6","7","8","13","2","0.44","0"
"26","TV021_026","2","6","7","8","13","3","0.45","0"
"27","TV021_027","2","6","7","8","13","4","0.40","0"
"28","TV021_028","2","6","7","7","16","5","0.50","0"
"29","TV021_029","2","6","7","7","16","1","0.45","0"
"30","TV021_030","2","6","7","7","16","2","0.39","0"
"31","TV021_031","2","6","7","7","16","3","0.40","0"
"32","TV021_032","2","6","7","7","16","4","0.36","0"
"33","TV021_033","2","6","7","4","11","5","0.60","0"
"34","TV021_034","2","6","7","4","11","1","0.54","0"
"35","TV021_035","2","6","7","4","11","2","0.46","0"
"36","TV021_036","2","6","7","4","11","3","0.47","0"
"37","TV021_037","2","6","7","4","11","4","0.43","0"
"38","TV021_038","2","6","7","1","12","5","0.64","0"
"39","TV021_039","2","6","7","1","12","1","0.57","0"
"40","TV021_040","2","6","7","1","12","2","0.49","0"
"41","TV021_041","2","6","7","1","12","3","0.51","0"
"42","TV021_042","2","6","7","1","12","4","0.45","0"
"43","TV021_043","2","3","5","2","9","5","0.59","0"
"44","TV021_044","2","3","5","2","9","1","0.53","0"
"45","TV021_045","2","3","5","2","9","2","0.46","0"
"46","TV021_046","2","3","5","2","9","3","0.47","0"
"47","TV021_047","2","3","5","2","9","4","0.42","0"
"48","TV021_048","2","3","5","3","10","5","0.63","0"
"49","TV021_049","2","3","5","3","10","1","0.56","0"
"50","TV021_050","2","3","5","3","10","2","0.48","0"
"51","TV021_051","2","3","5","3","10","3","0.50","0"
"52","TV021_052","2","3","5","3","10","4","0.45","0"
"53","TV021_053","2","3","5","4","11","5","0.65","0"
"54","TV021_054","2","3","5","4","11","1","0.58","0"
"55","TV021_055","2","3","5","4","11","2","0.50","0"
"56","TV021_056","2","3","5","4","11","3","0.52","0"
"57","TV021_057","2","3","5","4","11","4","0.46","0"
"58","TV021_058","2","3","5","1","12","5","0.70","0"
"59","TV021_059","2","3","5","1","12","1","0.62","0"
"60","TV021_060","2","3","5","1","12","2","0.54","0"
"61","TV021_061","2","3","5","1","12","3","0.55","0"
"62","TV021_062","2","3","5","1","12","4","0.50","0"
"63","TV021_063","2","4","6","2","9","5","0.61","0"
"64","TV021_064","2","4","6","2","9","1","0.55","0"
"65","TV021_065","2","4","6","2","9","2","0.48","0"
"66","TV021_066","2","4","6","2","9","3","0.49","0"
"67","TV021_067","2","4","6","2","9","4","0.44","0"
"68","TV021_068","2","4","6","3","10","5","0.64","0"
"69","TV021_069","2","4","6","3","10","1","0.58","0"
"70","TV021_070","2","4","6","3","10","2","0.50","0"
"71","TV021_071","2","4","6","3","10","3","0.52","0"
"72","TV021_072","2","4","6","3","10","4","0.47","0"
"73","TV021_073","2","4","6","4","11","5","0.67","0"
"74","TV021_074","2","4","6","4","11","1","0.60","0"
"75","TV021_075","2","4","6","4","11","2","0.52","0"
"76","TV021_076","2","4","6","4","11","3","0.53","0"
"77","TV021_077","2","4","6","4","11","4","0.48","0"
"78","TV021_078","2","4","6","1","12","5","0.71","0"
"79","TV021_079","2","4","6","1","12","1","0.64","0"
"80","TV021_080","2","4","6","1","12","2","0.55","0"
"81","TV021_081","2","4","6","1","12","3","0.56","0"
"82","TV021_082","2","4","6","1","12","4","0.51","0"
"83","TV021_083","3","1","8","5","14","5","0.52","0"
"84","TV021_084","3","1","8","5","14","1","0.47","0"
"85","TV021_085","3","1","8","5","14","2","0.40","0"
"86","TV021_086","3","1","8","5","14","3","0.41","0"
"87","TV021_087","3","1","8","5","14","4","0.37","0"
"88","TV021_088","3","1","8","6","15","5","0.56","0"
"89","TV021_089","3","1","8","6","15","1","0.50","0"
"90","TV021_090","3","1","8","6","15","2","0.43","0"
"91","TV021_091","3","1","8","6","15","3","0.44","0"
"92","TV021_092","3","1","8","6","15","4","0.40","0"
"93","TV021_093","3","1","8","7","16","5","0.48","0"
"94","TV021_094","3","1","8","7","16","1","0.43","0"
"95","TV021_095","3","1","8","7","16","2","0.37","0"
"96","TV021_096","3","1","8","7","16","3","0.38","0"
"97","TV021_097","3","1","8","7","16","4","0.34","0"
"98","TV021_098","3","6","7","2","9","5","0.49","0"
"99","TV021_099","3","6","7","2","9","1","0.44","0"
"100","TV021_100","3","6","7","2","9","2","0.38","0"
"101","TV021_101","3","6","7","2","9","3","0.39","0"
"102","TV021_102","3","6","7","2","9","4","0.35","0"
"103","TV021_103","3","6","7","8","13","5","0.51","0"
"104","TV021_104","3","6","7","8","13","1","0.46","0"
"105","TV021_105","3","6","7","8","13","2","0.39","0"
"106","TV021_106","3","6","7","8","13","3","0.40","0"
"107","TV021_107","3","6","7","8","13","4","0.36","0"
"108","TV021_108","3","6","7","7","16","5","0.45","0"
"109","TV021_109","3","6","7","7","16","1","0.40","0"
"110","TV021_110","3","6","7","7","16","2","0.35","0"
"111","TV021_111","3","6","7","7","16","3","0.36","0"
"112","TV021_112","3","6","7","7","16","4","0.32","0"
"113","TV021_113","3","6","7","4","11","5","0.54","0"
"114","TV021_114","3","6","7","4","11","1","0.48","0"
"115","TV021_115","3","6","7","4","11","2","0.41","0"
"116","TV021_116","3","6","7","4","11","3","0.43","0"
"117","TV021_117","3","6","7","4","11","4","0.38","0"
"118","TV021_118","3","6","7","1","12","5","0.57","0"
"119","TV021_119","3","6","7","1","12","1","0.51","0"
"120","TV021_120","3","6","7","1","12","2","0.44","0"
"121","TV021_121","3","6","7","1","12","3","0.45","0"
"122","TV021_122","3","6","7","1","12","4","0.41","0"
"123","TV021_123","3","3","5","2","9","5","0.53","0"
"124","TV021_124","3","3","5","2","9","1","0.48","0"
"125","TV021_125","3","3","5","2","9","2","0.41","0"
"126","TV021_126","3","3","5","2","9","3","0.42","0"
"127","TV021_127","3","3","5","2","9","4","0.38","0"
"128","TV021_128","3","3","5","3","10","5","0.56","0"
"129","TV021_129","3","3","5","3","10","1","0.51","0"
"130","TV021_130","3","3","5","3","10","2","0.44","0"
"131","TV021_131","3","3","5","3","10","3","0.45","0"
"132","TV021_132","3","3","5","3","10","4","0.40","0"
"133","TV021_133","3","3","5","4","11","5","0.58","0"
"134","TV021_134","3","3","5","4","11","1","0.52","0"
"135","TV021_135","3","3","5","4","11","2","0.45","0"
"136","TV021_136","3","3","5","4","11","3","0.46","0"
"137","TV021_137","3","3","5","4","11","4","0.42","0"
"138","TV021_138","3","3","5","1","12","5","0.63","0"
"139","TV021_139","3","3","5","1","12","1","0.56","0"
"140","TV021_140","3","3","5","1","12","2","0.48","0"
"141","TV021_141","3","3","5","1","12","3","0.50","0"
"142","TV021_142","3","3","5","1","12","4","0.45","0"
"143","TV021_143","3","4","6","2","9","5","0.55","0"
"144","TV021_144","3","4","6","2","9","1","0.49","0"
"145","TV021_145","3","4","6","2","9","2","0.43","0"
"146","TV021_146","3","4","6","2","9","3","0.44","0"
"147","TV021_147","3","4","6","2","9","4","0.40","0"
"148","TV021_148","3","4","6","3","10","5","0.58","0"
"149","TV021_149","3","4","6","3","10","1","0.52","0"
"150","TV021_150","3","4","6","3","10","2","0.45","0"
"151","TV021_151","3","4","6","3","10","3","0.46","0"
"152","TV021_152","3","4","6","3","10","4","0.42","0"
"153","TV021_153","3","4","6","4","11","5","0.60","0"
"154","TV021_154","3","4","6","4","11","1","0.54","0"
"155","TV021_155","3","4","6","4","11","2","0.47","0"
"156","TV021_156","3","4","6","4","11","3","0.48","0"
"157","TV021_157","3","4","6","4","11","4","0.43","0"
"158","TV021_158","3","4","6","1","12","5","0.64","0"
"159","TV021_159","3","4","6","1","12","1","0.57","0"
"160","TV021_160","3","4","6","1","12","2","0.49","0"
"161","TV021_161","3","4","6","1","12","3","0.51","0"
"162","TV021_162","3","4","6","1","12","4","0.46","0"
